1,삼성베트남증권자투자신탁UH,36.47,12,0.3
2,삼성인도중소형FOCUS증권자투자신탁UH,37.9,3,0.3
3,미래에셋인도중소형포커스증권자투자신탁 1,34.26,6,0.5
4,KB베트남포커스증권자투자신탁,32.93,6,0.6
5,미래에셋인디아디스커버리증권투자신탁 1,29.41,3,1.2
6,삼성인디아증권자투자신탁 2,28.77,3,0.5
7,미래에셋연금인디아업종대표증권자투자신탁 1,28.97,12,0.3
8,미래에셋인디아솔로몬증권투자신탁 1,30.66,12,0.3
9,미래에셋연금인디아인프라증권자투자신탁 1,25.97,12,0.5
10,미래에셋인디아인프라섹터증권자투자신탁 1,25.97,12,0.6
11,유리베트남알파증권자투자신탁UH[주식]_운용,30.59,12,1.2
12,한국투자베트남그로스증권자투자신탁UH,26.17,12,0.5
13,하나UBS코리아중소형증권자투자신탁,21.42,6,0.3
14,유리베트남알파연금저축증권자투자신탁,28.17,6,0.3
15,한국투자베트남그로스증권자투자신탁,21.45,3,0.5
16,현대강소기업증권자투자신탁 1,13.2,3,0.6
17,미래에셋연금러시아업종대표증권자투자신탁 1,23.88,6,1.2
18,미래에셋러시아업종대표증권자투자신탁 1,23.89,6,0.5
19,유리베트남알파증권자투자신탁,25.61,12,0.7
20,한국밸류10년투자어린이증권투자신탁 1,11.71,12,1